	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
T2D-064	0.04189194307381163	0.026701721142577118	0.04757395089327652	1.951449901445952e-06	0.0700593456375859	0.04253081341120757	0.12695030010902417	0.03200156895687669	0.08932222080886906	0.06816273580156251	0.17649398619881657	0.27830946251649075
T2D-093	0.04037619326449719	0.026805457073277198	0.05261759249247702	1.002407985167386e-06	0.06912228183576413	0.040682468559938505	0.12417416970449104	0.03163214427586836	0.09413692793513326	0.06475195259347696	0.17550947755856405	0.2801903322985269
T2D-010	0.040761628021533526	0.026165249083812073	0.05033253755146913	0.0	0.07324683682822208	0.043271475715323984	0.11179222234461828	0.03256839032320462	0.0900172994915675	0.06376294238880799	0.18154013920086198	0.28654127905057886
T2D-094	0.04074138454447997	0.027491741848186778	0.04641298183894905	5.336818707055691e-06	0.0693732452473028	0.04378256489884625	0.12300125160021842	0.03142439727532378	0.0907946123489066	0.06670183643681883	0.17715063473066286	0.2831200124115976
T2D-011	0.03964983094455228	0.02690536326696307	0.04044384335711493	5.988193507675546e-06	0.06666473834595076	0.0460832387028969	0.12179239016221438	0.03341225819406342	0.09322587277205412	0.07354901647765491	0.17870559167949884	0.2795618679035287
T2D-041	0.043158231236542804	0.026565757670041268	0.03966892088994362	6.67907803664083e-06	0.07141232393416731	0.042797911192129605	0.1271604668721507	0.03147243858550033	0.0929766684037798	0.06755386210680807	0.18110436259234114	0.27612237743855866
T2D-095	0.03230036155741086	0.025386401529985236	0.0275450882986007	0.0	0.06049488891371855	0.04993301217800806	0.12736371988286121	0.04242369215740296	0.09115157866203535	0.09228058722055453	0.151423539254713	0.2996971303447096
T2D-096	0.04637310652793867	0.026575901133594985	0.04688212110074353	3.964460450237186e-06	0.07003209859616169	0.04797555067477871	0.12987071628695845	0.03240528823348966	0.0833487906888223	0.0731128236927959	0.17087546298546016	0.2725441756188057
T2D-065	0.04132285843098452	0.026870967801483115	0.05085707341927487	1.0553885106555294e-05	0.06779205975544915	0.041375248075295135	0.12762423159939784	0.03129250758058144	0.09478910932619526	0.06777338609453033	0.16961280636682693	0.28067919766487487
T2D-097	0.04970889460236114	0.027178651063554642	0.04767561353361459	1.9163259609929995e-06	0.07756012945633656	0.04083463395147102	0.12450166915679102	0.03387527039266164	0.09272127148389263	0.058896074122539235	0.17688338790711997	0.2701624880036965
T2D-066	0.047459661801486086	0.02516355149220547	0.0435711150596933	8.57008945659831e-07	0.07006423694880566	0.04409631817487404	0.13067822809844487	0.030113532613743735	0.0901832590093508	0.07091578101457235	0.17738741492892854	0.2703660438489495
T2D-098	0.0454711067535938	0.02853040875559275	0.0448712833364785	6.833195392203365e-07	0.07435309247944866	0.03844323226740902	0.1275777075390529	0.033872488208338436	0.09548577262299751	0.05701589256010174	0.17634276571115629	0.27803556644629135
T2D-012	0.041196000354406605	0.027085006110558394	0.04818406088175951	1.0077776112116852e-05	0.06988014140698927	0.0449987664265195	0.12183412746732548	0.0332443335183832	0.09091381278439215	0.06947662792955854	0.17613008031751323	0.2770469650264819
T2D-042	0.04398652111200443	0.026995681301061857	0.04134616324192579	1.9947280488925804e-05	0.07007276139455489	0.04483734352714792	0.1273415553211964	0.03120540524146008	0.08817186166166845	0.06847153777440769	0.1793367283061116	0.27821449383797187
T2D-013	0.04546702915650957	0.028164095005696565	0.045279055762929045	3.3268717330681134e-06	0.07127237350059447	0.044416069464436575	0.12024490089954454	0.03213440897218803	0.09096719809827329	0.06654086498082776	0.17627684728855653	0.2792338299987105
T2D-099	0.042066377916273705	0.026148956108566237	0.050693881573387875	2.162974264077194e-06	0.06952251925312083	0.042738840123885256	0.12318047841310767	0.03360964150290684	0.09384822121623153	0.06800087970516036	0.17754472426648082	0.27264331694661476
T2D-100	0.05283185466427965	0.02183171785426362	0.05081002586269135	3.862396272944613e-07	0.07430304619189293	0.0470923866674268	0.1298161815825388	0.03281851406543129	0.07951863369442518	0.07068785431944698	0.15909366635812627	0.2811957324998498
T2D-101	0.03432624287064436	0.022356369913966754	0.021213499319936734	3.1074707636718633e-07	0.06377725408273673	0.04846778865152894	0.13548659873869318	0.02777777662740713	0.07106839022119517	0.08096026281024879	0.16814613303545375	0.3264193729811121
T2D-102	0.037715167084283074	0.026902103618480677	0.0288008840813994	0.0	0.06328608810170656	0.047397300100350113	0.13892737533556318	0.036219923857321625	0.09070496883389303	0.08636543423912048	0.17566748863666304	0.26801326611121884
